season,episode,timestamp,speaker,text
1,1,00:41:34,Mark,"Well, there is no other one. It’s me. I do the job."
1,1,00:41:40,Danise,I just don’t grasp the visceral element. What does it feel like?
1,1,00:41:48,Patton,"Well, it’s simple. One’s memories are bifurcated, so when you’re not at work, you have no recollection of what it is you do there. Did I get that right, Mark?"
1,1,00:41:56,Mark,"Well, it’s…
Danise: So you walk in at 9:00 a.m.,"
1,1,00:41:59,Danise,"and then suddenly it’s 5:00, and you’re leaving?"
1,1,00:42:01,Mark,"Well, they stagger us a little, so…
Danise: They stagger you?"
1,1,00:42:04,Patton,"And then, conversely, when you’re at work, you can’t access outside memories. So, in effect, that version of you is trapped there."
1,1,00:42:11,Ricken,Well…
1,1,00:42:13,Patton,"Well, I mean, not trapped, but…
Mark: But what?"
1,1,00:42:20,Mark,"No, no. I’m curious. What were you gonna say? But not trapped, but what? What were you gonna say?"
1,1,00:42:32,Danise,"So, I suppose we know where you fall on the congressional goings-on."
1,1,00:42:35,Ricken,"Okay, I think we may be"
1,1,00:42:36,Ricken,"missing the point here.
Devon: Yeah."
1,1,00:42:39,Ricken,"The point is that Mark made a decision. And that decision was controversial, ethically and socially. Morally. Scientifically. But, Mark, I stand behind you without reservation."
1,1,00:42:56,Danise,"So well said.
Ricken: Thank you."
1,1,00:42:58,Patton,"Absolutely.
Rebeck: I definitely stand behind Mark."
1,1,00:43:02,Mark,Wow. Thank you. That’s very sweet.
1,1,00:43:07,Ricken,"Well, we’re at the point where, traditionally, I would say something like, “Dig in.” But I must say, I do think that the lack of food has allowed us to already do so on a much deeper level."
1,1,00:43:21,Patton,"Oh, yeah. No, absolutely.
Ricken: Right?"
1,1,00:43:23,Patton,"I was saying, my friend in Lima hasn’t had a food-based dinner event in…"
1,1,00:43:27,Devon,"If I give you $3,000, will you forgive me?"
1,1,00:43:31,Mark,"Well, because your child is innocent of tonight’s atrocities, I’ll wait until after it’s born to murder you."
1,1,00:43:40,Devon,"Oh, my God. Here you go, buddy."
1,1,00:43:46,Mark,Thank you.
1,1,00:43:52,Devon,"Hey, how’s the good doctor therapy man with that weird little mustache?"
1,1,00:44:01,Devon,You’re not going?
1,1,00:44:04,Mark,"Well, the work thing’s helped."
