season,episode,timestamp,speaker,text,before_colon
1,7,00:12:50,Burt,"That we can.
Milchick: Without interruptions.",Milchick
1,7,00:12:52,Burt,"That we shall.
Milchick: Excellent.",Milchick
1,7,00:12:58,Milchick,"May I?
Burt: Yes, of course.",Burt
1,7,00:13:07,Burt,"Yep.
Milchick: Wow.",Milchick
1,7,00:17:11,Mark,"I…
Milchick: Coffee. Black. I’ll bring it to you.",Milchick
1,7,00:17:17,Irving,"Morning.
Mark: Morning.",Mark
1,7,00:18:40,Cobel,"Yeah, expose the areola. Let her see it.
Devon: Okay.",Devon
1,7,00:18:44,Devon,"She’s…
Cobel: There she is.",Cobel
1,7,00:18:48,Cobel,"Yes, Eleanor, yes! Yes.
Devon: Oh, my God.",Devon
1,7,00:19:14,Cobel,"Yes, like an angry fire hose.
Devon: Oh, no!",Devon
1,7,00:21:34,Irving,"I was just in the bathroom.
Mark: Yeah?",Mark
1,7,00:21:41,Mark,"The soap labels?
Irving: Yeah.",Irving
1,7,00:22:56,Helly,"Why for you?
Milchick: And I thought a little frivolity",Milchick
1,7,00:25:38,Dylan,"What is his name? Tell me his name!
Milchick: Dylan! Get him off me!",Milchick
1,7,00:25:46,Milchick,"He’s biting me!
Mark: Dylan, what the hell!",Mark
1,7,00:25:48,Mark,"Jesus Christ! Dylan! Come on, Dylan!
Milchick: He’s biting me!",Milchick
1,7,00:27:31,Mark,"Jesus, Dylan. That’s crazy.
Dylan: Yeah, it’s not fair.",Dylan
1,7,00:28:20,Helly,"Where did you find it?
Mark: In my pocket",Mark
1,7,00:28:49,Dylan,"What about Milchick?
Helly: He can’t be everywhere at once.",Helly
1,7,00:28:52,Irving,"This whole line of con…
Helly: Do you know where the office is?",Helly
1,7,00:29:18,Dylan,"I got it.
Mark: Okay.",Mark
1,7,00:29:53,Mark,"Where you going?
Irving: I have to make sure Burt’s okay.",Irving
1,7,00:30:01,Mark,"I mean…
Helly: What?",Helly
1,7,00:32:08,Mark,"Shit.
Helly: What?",Helly
1,7,00:32:36,Cobel,"Now isn’t a good…
Natalie: I have the Board here.",Natalie
1,7,00:34:40,Mark,"Is that making sense?
Helly: Yeah.",Helly
1,7,00:34:50,Helly,"type, hold.
Mark: What?",Mark
1,7,00:43:42,Mark,"Hey.
Alexa: Hey.",Alexa
1,7,00:43:57,Alexa,"I’m good. How are you?
Mark: That’s great.",Mark
1,7,00:44:31,Mark,"No, I think I’m really ready for this.
Alexa: No.",Alexa
1,7,00:44:35,Mark,"Well, I’m really sorry.
Alexa: Okay.",Alexa
1,7,00:44:48,Alexa,"Whatever you want.
Mark: Okay. H-Hold on.",Mark
1,8,00:05:25,Mark,"Going good?
Helly: Yep.",Helly
1,8,00:05:29,Mark,"Think you’ll have it by…
Helly: I’ll get there.",Helly
1,8,00:05:54,Dylan,"She’s not gonna make it, is she?
Mark: You should be at your desks.",Mark
1,8,00:05:59,Dylan,"Is she gonna make it?
Mark: She’s gonna make it.",Mark
1,8,00:06:03,Irving,"Don’t laugh.
Mark: At?",Mark
1,8,00:08:13,Dylan,"She do it?
Mark: She did it!",Mark
1,8,00:10:39,Mark,"Great.
Cobel: But before you celebrate, I’d like you to drop by Wellness.",Cobel
1,8,00:17:12,Ms. Casey,"Could I just…
Milchick: I’m sorry.",Milchick
1,8,00:17:58,Helly,"Mark.
Irving: Where were you?",Irving
1,8,00:18:12,Mark,"They fired her.
Dylan: What?",Dylan
1,8,00:27:37,Mark,"It’s just us three.
Dylan: I know.",Dylan
1,8,00:30:00,Helly,"Okay.
Mark: All right.",Mark
1,8,00:37:43,Mark,"They have that party tonight.
Cobel: And?",Cobel
1,8,00:39:19,Ricken,"The elusive Mark.
Mark: Never thought of myself as elusive.",Mark
1,8,00:39:42,Ricken,"Okay, shoot!
Mark: Indeed. Yeah, I’m sorry.",Mark
1,8,00:39:49,Ricken,"Unless you want to.
Mark: Well…",Mark
1,8,00:39:52,Mark,"Hey.
Devon: Hi.",Devon
1,8,00:40:09,Mark,"He is on it.
Devon: I know.",Devon
1,8,00:40:12,Devon,"Sister and brother.
Mark: Alone at last.",Mark
1,8,00:40:18,Devon,"Yeah?
Mark: Yeah.",Mark
1,8,00:40:20,Mark,"You’re a good wife and mother and stuff.
Devon: Thanks.",Devon
1,8,00:40:29,Mark,"Hey, we should talk later.
Devon: Yeah?",Devon
1,8,00:40:39,Mark,"Yeah, of course. Yeah.
Devon: Come here.",Devon
1,8,00:43:55,Cobel,"I don’t mean to be nosy, but…
Mark: No, no.",Mark
1,9,00:00:26,Mark,"My sister?
Cobel: Yes.",Cobel
1,9,00:00:30,Cobel,"Mark?
Mark: Yeah.",Mark
1,9,00:01:52,Natalie,"Gabby.
Gabby: Natalie, hello.",Gabby
